"Artikelnummer";"EAN";"Bezeichnung";"Preis";"Rabatt";"Ihr Preis";"Lieferstatus";"Bildname";"USK/FSK";"Trailerlink";"Viewkey";"Warengruppe";"Untergruppe";"breadcrumb";"Genre"
"PS45271";"5030917291869";"Call of Duty: Black Ops - Cold War  PS4";"45.500";"0";"45.500";"Neuheit";"5030917291869.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45272";"5030917291876";"Call of Duty: Black Ops - Cold War - Import (AT)  PS4";"45.500";"0";"45.500";"Neuheit";"5030917291876.jpg";"19";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45122";"5026555425698";"Civilization VI  PS4";"14.990";"0";"14.990";"lieferbar";"5026555425698.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Strategiespiele"
"PS45257";"5030917290985";"Crash Bandicoot 4 - It´s About Time  PS4";"42.500";"0";"42.500";"lieferbar";"5030917290985.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Fun & JumpNRun"
"PS45240";"4020628715878";"DIRT 5 - Launch Edition  PS4";"42.500";"0";"42.500";"Neuheit";"4020628715878.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS45258";"5030947124106";"FIFA 21  Champions Edition  PS4";"58.990";"0";"58.990";"lieferbar";"5030947124106.jpg";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45259";"5035225124427";"FIFA 21  PS4";"44.990";"0";"44.990";"lieferbar";"5035225124427.jpg";"0";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45274";"5051890324146";"FORTNITE - The Last Laugh Bundle  PS4";"18.490";"0";"18.490";"Neuheit";"";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45113";"5026555426916";"Grand Theft Auto V  Premium Edition  PS4";"10.990";"0";"10.990";"lieferbar";"5026555426916.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45249";"5026555428293";"Mafia Trilogy  PS4";"36.990";"0";"36.990";"lieferbar";"5026555428293.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45275";"4012160262880";"Minecraft  PS4";"20.990";"0";"20.990";"lieferbar";"";"6";"";"";"PS4";"";"SONY PLAYSTATION 4";"Strategiespiele"
"PS45273";"5030937122983";"NHL 21  PS4";"44.990";"0";"44.990";"lieferbar";"";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Sportspiele"
"PS45163";"3391892006803";"One Punch Man: A Hero Nobody Knows  PS4";"9.990";"0";"9.990";"lieferbar";"3391892006803.jpg";"12";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45253";"3391892011746";"Project Cars 3  PS4";"39.990";"0";"39.990";"lieferbar";"3391892011746.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Rennspiele"
"PS44724";"5026555423076";"Red Dead Redemption 2  PS4";"15.990";"0";"15.990";"lieferbar";"5026555423076.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45166";"5055060949634";"Resident Evil 3  PS4";"24.990";"0";"24.990";"lieferbar";"5055060949634.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45212";"0711719330202";"The Last of US  Part II  PS4";"29.990";"0";"29.990";"lieferbar";"0711719330202.jpg";"18";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45059";"5026555426183";"The Outer Worlds  PS4";"14.990";"0";"14.990";"lieferbar";"5026555426183.jpg";"16";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45154";"3307216135142";"Watch Dogs: Legion  PS4";"48.000";"0";"48.000";"Neuheit";"3307216135142.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS45156";"3307216137320";"Watch Dogs: Legion  Ultimate Edition  PS4";"73.500";"0";"73.500";"Neuheit";"3307216137320.jpg";"";"";"";"PS4";"";"SONY PLAYSTATION 4";"Actionspiele"
"PS50001";"5030917292507";"Call of Duty: Black Ops - Cold War  PS5";"48.500";"0";"48.500";"Neuheit";"5030917292507.jpg";"18";"";"";"PS5";"";"SONY PLAYSTATION 5";"Actionspiele"
"PS50002";"5030917292514";"Call of Duty: Black Ops - Cold War - Import (AT)  PS5";"48.500";"0";"48.500";"Neuheit";"";"19";"";"";"PS5";"";"SONY PLAYSTATION 5";"Actionspiele"
"PS50003";"5051890324153";"FORTNITE - The Last Laugh Bundle  PS5";"18.490";"0";"18.490";"Neuheit";"";"12";"";"";"PS5";"";"SONY PLAYSTATION 5";"Actionspiele"
"150022";"-";"Aerosoft Lanyard";"0.100";"0";"0.100";"lieferbar";"aerosoftlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150033";"-";"Blast Lanyard";"0.100";"0";"0.100";"lieferbar";"blastlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"200001";"-";"CCCP - Lanyard";"0.100";"0";"0.100";"lieferbar";"cccplanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150038";"-";"Deep Silver dick Lanyard";"0.100";"0";"0.100";"lieferbar";"deepsilverdicklanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150020";"-";"Deep Silver dünn Lanyard";"0.100";"0";"0.100";"lieferbar";"deepsilverdunnlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150028";"-";"DTM Race Driver 3 Lanyard";"0.100";"0";"0.100";"lieferbar";"dtmracedriverlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150053";"-";"dtp Tasche";"1.000";"0";"1.000";"lieferbar";"dtptasche.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150030";"-";"EA FIFA 10 Lanyard";"0.100";"0";"0.100";"lieferbar";"eafifa10lanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150047";"-";"Fifa 07 T-Shirt";"1.000";"0";"1.000";"lieferbar";"fifa07tshirt.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150015";"-";"FIFA 08 Aufkleber";"0.050";"0";"0.050";"lieferbar";"fifa08aufkleber.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150055";"-";"Mein Koch Coach Tütte";"0.100";"0";"0.100";"lieferbar";"meinkochtutte.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150024";"-";"Perry Rhodan Lanyard";"0.100";"0";"0.100";"lieferbar";"perryrhodanlany.jpg";"";"";"";"SON";"";"SONSTIGES";""
"100826";"-";"PlayStation 3 - Armband / Schweißband";"0.100";"0";"0.100";"lieferbar";"playstation3armband.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150004";"-";"Playstation 3 Lanyard";"0.100";"0";"0.100";"lieferbar";"playstation3lanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150005";"-";"Playstation 3 Schlüsselanhänger Band";"0.100";"0";"0.100";"lieferbar";"playstation3schlussel.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150054";"-";"Riding Star T-Shirt";"1.000";"0";"1.000";"lieferbar";"ridingstartshirt.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150008";"-";"Speed Link Armband";"0.100";"0";"0.100";"lieferbar";"speedlingarmband.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150011";"-";"T-Shirt NBA 2K17 rot";"1.000";"0";"1.000";"lieferbar";"";"";"";"";"SON";"";"SONSTIGES";""
"150012";"-";"T-Shirt W2K17 schwarz";"1.000";"0";"1.000";"lieferbar";"w2k17tshirtschwarz.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150036";"-";"The Elder Scrolls Lanyard";"2.500";"0";"2.500";"lieferbar";"theelderlanyard.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150048";"-";"Tony Hawks Proring Ground T-Shirt";"1.000";"0";"1.000";"lieferbar";"tonyprovingtshirt.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150034";"-";"Transformers Schlüsselanhänger";"0.100";"0";"0.100";"lieferbar";"transformersschlussel.jpg";"";"";"";"SON";"";"SONSTIGES";""
"150002";"-";"Ubisoft Tasche";"7.000";"0";"7.000";"lieferbar";"ubisofttasche.jpg";"";"";"";"SON";"";"SONSTIGES";""
"XB10985";"3307216167303";"Assassin´s Creed Valhalla  Xbox One";"48.000";"0";"48.000";"Neuheit";"3307216167303.jpg";"";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB11015";"5030917292002";"Call of Duty: Black Ops - Cold War  Xbox One";"45.500";"0";"45.500";"Neuheit";"5030917292002.jpg";"18";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB11016";"5030917292019";"Call of Duty: Black Ops - Cold War - Import (AT)  Xbox One";"45.500";"0";"45.500";"Neuheit";"5030917292019.jpg";"19";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB11001";"5030917291081";"Crash Bandicoot 4 - It´s About Time  Xbox One";"39.990";"0";"39.990";"lieferbar";"5030917291081.jpg";"";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Fun & JumpNRun"
"XB10987";"4020628715861";"DIRT 5 - Launch Edition  Xbox One";"42.500";"0";"42.500";"Neuheit";"4020628715861.jpg";"";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Rennspiele"
"XBX003";"5051890324115";"FORTNITE - The Last Laugh Bundle  Xbox One / XBOX X";"18.490";"0";"18.490";"Neuheit";"";"12";"";"";"XB1";"";"MICROSOFT XBOX ONE";""
"XB10933";"5026555362535";"Grand Theft Auto V  Premium Edition  Xbox One";"11.990";"0";"11.990";"lieferbar";"5026555362535.jpg";"18";"";"";"XB1";"";"MICROSOFT XBOX ONE";""
"XB11017";"5030948122989";"NHL 21  Xbox One";"39.990";"0";"39.990";"lieferbar";"";"12";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Sportspiele"
"XB11000";"5030939124084";"Star Wars Squadrons  Xbox One";"24.990";"0";"24.990";"lieferbar";"5030939124084.jpg";"";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB10946";"3307216135326";"Watch Dogs: Legion  Xbox One";"48.000";"0";"48.000";"Neuheit";"3307216135326.jpg";"";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Actionspiele"
"XB10992";"3665962001563";"WRC 9  Xbox One";"29.990";"0";"29.990";"lieferbar";"3665962001563.jpg";"0";"";"";"XB1";"";"MICROSOFT XBOX ONE";"Rennspiele"
"XBX0001";"5030917292644";"Call of Duty: Black Ops - Cold War  XBOX X";"48.500";"0";"48.500";"Neuheit";"5030917292644.jpg";"18";"";"";"XBX";"";"MICROSOFT XBOX SERIES X";"Actionspiele"
"XBX0002";"5030917292651";"Call of Duty: Black Ops - Cold War - Import (AT)  XBOX X";"48.500";"0";"48.500";"Neuheit";"5030917292651.jpg";"19";"";"";"XBX";"";"MICROSOFT XBOX SERIES X";"Actionspiele"
